0,142,152,1,3,39413578,116
0,10,11,1,4,2386978,9
0,128,221,4,65,47356150,84
0,33,35,1,7,6630645,26
0,19,20,1,3,3716605,19
0,37,46,1,14,11078202,29
0,78,86,1,50,19163217,66
0,14,17,1,5,3750699,13
0,68,82,14,57,19881409,62
0,16,19,1,4,5102067,10
0,54,68,1,43,15681841,44
0,17,23,1,2,4673687,15
0,20,24,1,15,5135679,18
0,139,155,1,116,35063153,114
0,42,90,4,37,21765951,27
0,16,19,1,5,3845851,16
0,13,17,1,2,4454486,7
0,13,50,1,3,13027098,5
0,57,73,1,4,17948024,48
0,16,23,1,7,4081494,6
0,25,28,1,10,7159234,22
0,56,73,1,39,16160161,37
0,9,9,1,10,2001680,9
0,12,13,1,8,3309944,6
0,27,27,1,4,6016295,26
0,27,38,1,3,11112713,15
0,27,28,1,6,6203502,22
0,62,77,3,10,16688603,52
0,18,19,2,14,4394376,18
0,16,18,1,16,4484510,15
0,10,10,2,3,2751069,10
0,45,61,1,10,13500739,29
1,13,14,1,2,4921155,12
0,27,29,1,7,6814302,25
0,61,100,1,2,18162922,55
1,18,29,2,3,7006928,29
0,26,60,1,13,12270137,13
0,34,67,2,16,15812734,28
0,51,65,1,6,14293925,37
0,58,164,1,6,37148153,47
0,47,51,2,13,10970628,39
0,32,40,1,5,11952737,25
0,43,46,1,23,10709337,36
0,144,170,3,120,39944111,117
0,123,150,1,56,32505924,77
0,89,145,1,16,31381671,48
0,42,45,2,16,10898102,31
0,58,178,2,16,27845577,43
0,11,16,1,3,3415630,9
0,119,132,1,66,31582736,95
0,92,93,4,28,25381867,85
0,65,67,1,14,14409734,55
0,31,40,1,11,9082715,27
0,20,33,1,10,7647998,15
0,29,29,1,7,6056343,28
0,54,89,1,26,22055489,32
0,16,17,1,3,3629562,16
0,40,73,1,3,13667059,25
0,19,20,1,2,5286989,16
0,8,20,1,4,4463418,6
0,39,80,1,11,22753608,19
0,42,70,1,8,18272291,28
0,25,33,3,7,8869279,13
0,46,74,2,6,14124198,44
0,26,33,1,2,7630179,21
0,20,20,1,10,4375653,20
0,76,77,1,2,18667210,51
0,49,89,1,38,21482027,40
1,63,76,5,38,17289039,55
0,29,53,2,7,12786587,17
0,42,48,1,2,10099772,34
0,111,116,5,10,26661055,92
0,33,39,1,19,8660772,30
0,65,75,1,18,18555972,51
0,26,41,1,4,8606727,12
0,28,32,2,25,6850802,16
0,23,28,1,19,6283973,22
0,49,85,3,15,17543450,35
0,31,37,1,21,8815050,18
0,44,47,1,28,13045427,41
0,44,53,1,5,12892664,31
0,172,210,1,60,52805126,118
0,36,41,1,27,9311051,33
0,100,100,1,24,25746123,97
0,36,40,1,17,9603495,28
0,19,20,1,3,4706054,18
0,56,139,1,21,34210734,45
0,29,57,2,3,11761011,11
0,79,93,1,3,20860324,56
0,20,33,1,2,6954183,16
0,78,113,1,15,27192664,39
0,177,208,1,74,44932433,134
0,77,94,3,53,20008086,61
0,67,170,1,107,36111787,31
0,50,60,3,6,13268910,41
0,28,34,1,23,8053208,24
0,50,53,1,3,14588426,44
0,38,41,4,10,8573995,36
0,20,20,1,2,4365919,19
0,24,27,1,12,6148366,22
0,78,87,2,4,20428203,61
0,10,19,1,3,4769119,6
0,105,125,1,28,30227144,73
0,27,59,1,7,14844042,21
0,65,71,1,28,15032230,62
0,87,106,6,34,24614656,77
0,20,20,2,6,6321523,19
0,26,40,1,25,8809870,19
0,85,100,1,33,21673118,66
0,34,40,1,9,8412976,35
0,33,35,1,14,7169146,31
